,Unnamed: 0,station,netbeheerder,status,totale_capaciteit_invoeding_mva,totale_capaciteit_afname_mva,beschikbare_capaciteit_invoeding_huidig_mva,beschikbare_capaciteit_afname_huidig_mva,verwacht_jaar_van_overbelasting_invoeding,verwacht_jaar_van_overbelasting_afname,investeringsplanning_vermogen_invoeding,investeringsplanning_vermogen_afname,investeringsplanning_tijd_invoeding,investeringsplanning_tijd_afname,beschikbare_capaciteit_invoeding_3_jaar_mva,beschikbare_capaciteit_afname_3_jaar_mva,beschikbare_capaciteit_invoeding_5_jaar_mva,beschikbare_capaciteit_afname_5_jaar_mva,beschikbare_capaciteit_invoeding_10_jaar_mva,beschikbare_capaciteit_afname_10_jaar_mva,peildatum,beschikbare_capaciteit_afname_3_jaar_mva_visualisatie,beschikbare_capaciteit_afname_5_jaar_mva_visualisatie,beschikbare_capaciteit_afname_10_jaar_mva_visualisatie,beschikbare_capaciteit_afname_huidig_mva_visualisatie,beschikbare_capaciteit_invoeding_3_jaar_mva_visualisatie,beschikbare_capaciteit_invoeding_5_jaar_mva_visualisatie,beschikbare_capaciteit_invoeding_10_jaar_mva_visualisatie,beschikbare_capaciteit_invoeding_huidig_mva_visualisatie,geometry,zip_code
0,0.0,Aarle-Rixtel,Enexis,Bestaand,55.0,75.0,0.0,0.0,2023,2023,32.0,0.0,2026,>2035,0,0,32,0,32,0,2023/02/01,0,0,0,0,0,32,32,0,(51.51036164155714 5.671088774486666),5735 SC
1,1.0,Almelo Mosterdpot,Enexis,Bestaand,78.0,58.0,0.0,1.0,2023,2034,22.0,24.0,2030,2026,0,1,0,25,22,25,2023/02/01,1,25,25,1,0,0,22,0,(52.35671949826364 6.629699819829113),7604 BE
2,2.0,Almelo Urenco,Enexis,Bestaand,25.0,41.0,0.0,1.0,2023,2026,29.0,9.0,2030,2026,0,1,0,10,29,10,2023/02/01,1,10,10,1,0,0,29,0,(52.332023493683494 6.6885443075552065),7601 PM
3,3.0,Bargermeer,Enexis,Bestaand,40.0,50.0,0.0,0.0,2023,2032,60.0,32.0,2030,2026,0,0,0,32,60,32,2023/02/01,0,32,32,0,0,0,60,0,(52.76214604360774 6.926456146805823),7825 AK
4,4.0,Beek,Enexis,Bestaand,41.0,37.0,0.0,0.0,2023,2023,0.0,12.0,>2035,2028,0,0,0,0,0,12,2023/02/01,0,0,12,0,0,0,0,0,(50.94350412469053 5.806745158622074),6191 HW
5,5.0,Beilen,Enexis,Bestaand,55.0,41.0,0.0,0.0,2023,2026,146.0,9.0,2030,2024,0,9,0,9,146,134,2023/02/01,9,9,134,0,0,0,146,0,(52.88794723434003 6.517555239007117),9415 TS
6,6.0,Belfeld,Enexis,Bestaand,60.0,38.0,0.0,0.0,2023,2023,6.0,11.0,2028,2028,0,0,0,0,6,11,2023/02/01,0,0,11,0,0,0,6,0,(51.323098798269214 6.1212738128153195),5951 AG
7,7.0,Bergen op Zoom,Enexis,Bestaand,113.0,85.0,0.0,0.0,2023,2023,0.0,3.0,>2035,2026,0,0,0,3,0,3,2023/02/01,0,3,3,0,0,0,0,0,(51.50510050686766 4.271155646491687),4612 PS
8,8.0,Best,Enexis,Bestaand,85.0,82.0,0.0,0.0,2023,2023,95.0,13.0,2026,2026,0,0,95,13,95,13,2023/02/01,0,13,13,0,0,95,95,0,(51.48815046604147 5.413245724225265),5683 PA
9,9.0,Biesbosch,Enexis,Bestaand,13.0,20.0,0.0,0.0,2023,2023,0.0,0.0,>2035,>2035,0,0,0,0,0,0,2023/02/01,0,0,0,0,0,0,0,0,(51.767684109444055 4.7919129049395055),4251 MV
